,朝楼,YearMonth,老老荐劳伏_714157,老老荐劳伏_714207,老老荐劳伏_714243,老老荐劳伏_Opt,穿利荐劳伏,弥绊穿利,DD,MDD
183,20170927,201709,0.0096,0.0,0.0,0.00649008,2.2025104435674554,2.2025104435674554,0.0,-0.023146274024927416
184,20170928,201709,-0.001,-0.0052,-0.0064,-0.002364274,2.197303105391,2.2025104435674554,-0.002364274000000055,-0.023146274024927416
185,20170929,201709,-0.0148,0.0183,-0.0017000000000000001,-0.004138655,2.1882092259073582,2.2025104435674554,-0.0064931440855886535,-0.023146274024927416
186,20171010,201710,0.0086,0.0007000000000000001,0.0021,0.001761761,2.1920643275814022,2.2025104435674554,-0.0047428224536059105,-0.023146274024927416
187,20171011,201710,0.0184,0.0075,0.0131,0.011576683,2.2174411614174203,2.2174411614174203,0.0,-0.023146274024927416
188,20171012,201710,0.0125,0.0124,0.0076,0.008983415,2.237361355608515,2.237361355608515,0.0,-0.023146274024927416
189,20171013,201710,0.0039000000000000003,0.0111,0.0123,0.011895096,2.263974983720168,2.263974983720168,0.0,-0.023146274024927416
190,20171016,201710,0.008199999999999999,0.0073,0.0001,0.0021812949999999998,2.268913381032282,2.268913381032282,0.0,-0.023146274024927416
191,20171017,201710,-0.0064,-0.002,0.0039000000000000003,0.0021643520000000005,2.2738241082463464,2.2738241082463464,0.0,-0.023146274024927416
192,20171018,201710,0.0138,-0.0027,0.0054,0.0032026710000000003,2.2811064187769277,2.2811064187769277,0.0,-0.023146274024927416
193,20171019,201710,-0.011399999999999999,-0.0033,-0.0067,-0.005787327000000001,2.267904910009667,2.2811064187769277,-0.005787326999999842,-0.023146274024927416
194,20171020,201710,-0.0124,0.020499999999999997,0.0034999999999999996,0.008125912999999998,2.286333708000678,2.286333708000678,0.0,-0.023146274024927416
195,20171023,201710,-0.0046,0.012,0.0034000000000000002,0.005740526000000001,2.2994584660961324,2.2994584660961324,0.0,-0.023146274024927416
196,20171024,201710,0.0121,0.0096,0.0077,0.008267851,2.318470046074504,2.318470046074504,0.0,-0.023146274024927416
197,20171025,201710,-0.0029,0.0095,0.0176,0.015164824000000002,2.3536292362724955,2.3536292362724955,0.0,-0.023146274024927416
198,20171026,201710,0.0045000000000000005,-0.0018,0.009399999999999999,0.0062258009999999996,2.3682824635253104,2.3682824635253104,0.0,-0.023146274024927416
199,20171027,201710,0.0054,-0.001,0.005699999999999999,0.0038228039999999995,2.3773359432000047,2.3773359432000047,0.0,-0.023146274024927416
200,20171030,201710,0.0014000000000000002,0.0058,0.006500000000000001,0.006262160000000001,2.392223201250074,2.392223201250074,0.0,-0.023146274024927416
201,20171031,201710,0.0121,0.0265,0.0087,0.013708600000000001,2.4250172322267307,2.4250172322267307,0.0,-0.023146274024927416
202,20171101,201711,-0.0039000000000000003,-0.0011,0.006500000000000001,0.0027213160000000005,2.4316164704210648,2.4316164704210648,0.0,-0.023146274024927416
203,20171102,201711,-0.0179,-0.0044,0.0075,-0.0017122550000000002,2.427452922961504,2.4316164704210648,-0.0017122550000000514,-0.023146274024927416
204,20171103,201711,-0.0005,-0.003,0.0032,0.001847025,2.431936489196537,2.431936489196537,0.0,-0.023146274024927416
205,20171106,201711,0.0023,-0.0017000000000000001,-0.0007000000000000001,0.00038212,2.4328657807677887,2.4328657807677887,0.0,-0.023146274024927416
206,20171107,201711,0.0069,0.0123,0.0139,0.011365338,2.4605161226748486,2.4605161226748486,0.0,-0.023146274024927416
207,20171108,201711,0.0074,0.0038,0.0089,0.008345108,2.4810493954543116,2.4810493954543116,0.0,-0.023146274024927416
208,20171109,201711,0.011200000000000002,0.0009,0.0025,0.005641359000000001,2.495045885790802,2.495045885790802,0.0,-0.023146274024927416
209,20171110,201711,0.0001,-0.006,-0.0045000000000000005,-0.0028406670000000003,2.4879582912795506,2.495045885790802,-0.0028406669999999634,-0.023146274024927416
210,20171113,201711,0.0024,0.0060999999999999995,0.0009,0.001455139,2.491578616419565,2.495045885790802,-0.0013896615653377076,-0.023146274024927416
211,20171114,201711,0.0123,0.013600000000000001,0.0048,0.007533211,2.5103482038601412,2.5103482038601412,0.0,-0.023146274024927416
212,20171115,201711,0.0025,0.0089,0.013999999999999999,0.009829807999999999,2.5350244447172314,2.5350244447172314,0.0,-0.023146274024927416
213,20171116,201711,-0.0113,-0.0095,-0.0105,-0.010786754,2.50767975964808,2.5350244447172314,-0.010786754000000065,-0.023146274024927416
214,20171117,201711,0.0085,0.0097,0.0063,0.007103764,2.5254937248481966,2.5350244447172314,-0.0037596165547421068,-0.023146274024927416
215,20171120,201711,0.0154,0.025099999999999997,0.031,0.025345559000000004,2.589503775055466,2.589503775055466,0.0,-0.023146274024927416
216,20171121,201711,0.014199999999999999,0.017,0.026699999999999998,0.022156916,2.6468791926810527,2.6468791926810527,0.0,-0.023146274024927416
217,20171122,201711,0.0159,-0.021400000000000002,0.004,0.008239469000000001,2.668688071735893,2.668688071735893,0.0,-0.023146274024927416
218,20171123,201711,0.0062,0.0079,-0.0005,0.001942999,2.6738733299905877,2.6738733299905877,0.0,-0.023146274024927416
219,20171124,201711,0.0026,0.0167,0.0256,0.017262827,2.720031942706129,2.720031942706129,0.0,-0.023146274024927416
220,20171127,201711,0.0048,0.0016,0.0017000000000000001,0.002820496,2.7277037819204035,2.7277037819204035,0.0,-0.023146274024927416
221,20171128,201711,0.0023,-0.0086,-0.0007000000000000001,0.000365077,2.728699603833996,2.728699603833996,0.0,-0.023146274024927416
222,20171129,201711,0.0086,0.0019,0.0,0.0031138510000000004,2.737196367824094,2.737196367824094,0.0,-0.023146274024927416
223,20171130,201711,-0.0036,0.0,0.0,-0.001301508,2.7336338848537998,2.737196367824094,-0.0013015080000000623,-0.023146274024927416
224,20171201,201712,0.004699999999999999,0.0,0.0,0.0046498979999999995,2.746345003587714,2.746345003587714,0.0,-0.023146274024927416
225,20171204,201712,0.0192,0.0,0.0,0.018995328,2.7985127277320236,2.7985127277320236,0.0,-0.023146274024927416
226,20171205,201712,0.010700000000000001,-0.0002,0.0,0.010585606000000001,2.8281366808537802,2.8281366808537802,0.0,-0.023146274024927416
227,20171206,201712,-0.0008,0.0048,-0.0053,-0.000831204,2.825785922332108,2.8281366808537802,-0.0008312040000000298,-0.023146274024927416
228,20171207,201712,0.0166,-0.0014000000000000002,0.0019,0.01643782,2.8722356826819366,2.8722356826819366,0.0,-0.023146274024927416
229,20171208,201712,-0.0075,0.0,0.0,-0.00742005,2.8509235503046524,2.8722356826819366,-0.007420050000000011,-0.023146274024927416
230,20171211,201712,0.019799999999999998,0.0,0.0,0.019588931999999996,2.906770097868769,2.906770097868769,0.0,-0.023146274024927416
231,20171212,201712,0.0178,0.0052,0.0026,0.017642284,2.9580521614580775,2.9580521614580775,0.0,-0.023146274024927416
232,20171213,201712,0.004,-0.011399999999999999,-0.0021,0.003919536,2.96964635339479,2.96964635339479,0.0,-0.023146274024927416
233,20171214,201712,0.0225,0.0026,0.002,0.022282466,3.0358173972963334,3.0358173972963334,0.0,-0.023146274024927416
234,20171215,201712,0.0177,0.0151,0.018000000000000002,0.017698384,3.0895464593475643,3.0895464593475643,0.0,-0.023146274024927416
235,20171218,201712,-0.0001,-0.0002,0.002,-8.126599999999999e-05,3.089295384264999,3.0895464593475643,-8.126600000002426e-05,-0.023146274024927416
236,20171219,201712,-0.016399999999999998,-0.0431,-0.0385,-0.016643221999999996,3.0378795553611013,3.0895464593475643,-0.016723135471920947,-0.023146274024927416
237,20171220,201712,0.01,0.0274,-0.0019,0.009921784,3.0680207401274107,3.0895464593475643,-0.006967274809875912,-0.023146274024927416
238,20171221,201712,0.0167,0.0079,0.0174,0.016691692,3.1192311973712292,3.1192311973712292,0.0,-0.023146274024927416
239,20171222,201712,-0.025099999999999997,-0.0008,-0.0004,-0.024837361999999995,3.0417577229604267,3.1192311973712292,-0.024837361999999974,-0.024837361999999974
240,20171226,201712,0.0105,0.0,0.0,0.010388070000000001,3.0733557151095803,3.1192311973712292,-0.014707304255071274,-0.024837361999999974
241,20171227,201712,0.0169,0.0,0.0,0.016719846,3.1247417493694325,3.1247417493694325,0.0,-0.024837361999999974
242,20171228,201712,0.004699999999999999,-0.0015,0.001,0.004656408,3.13929182184913,3.13929182184913,0.0,-0.024837361999999974
243,20180102,201801,0.0168,0.019299999999999998,0.006,0.016840092,3.1921577849439173,3.1921577849439173,0.0,-0.024837361999999974
244,20180103,201801,0.005699999999999999,0.0169,0.0139,0.005993345999999999,3.2112894910356795,3.2112894910356795,0.0,-0.024837361999999974
245,20180104,201801,0.0095,0.0168,0.0092,0.009679853,3.2423743012493498,3.2423743012493498,0.0,-0.024837361999999974
246,20180105,201801,0.018799999999999997,0.0222,0.015300000000000001,0.018877012999999998,3.3035806430848997,3.3035806430848997,0.0,-0.024837361999999974
247,20180108,201801,0.0096,0.0371,0.0233,0.010307336999999998,3.3376317620798526,3.3376317620798526,0.0,-0.024837361999999974
248,20180109,201801,0.0017000000000000001,-0.0076,-0.0239,0.0014186480000000002,3.3423666867038637,3.3423666867038637,0.0,-0.024837361999999974
249,20180110,201801,-0.0023,0.0079,-0.0003,-0.002043836,3.3355354373443777,3.3423666867038637,-0.002043836000000021,-0.024837361999999974
250,20180111,201801,0.0014000000000000002,-0.013500000000000002,-0.0197,0.0009892610000000002,3.33883515246666,3.3423666867038637,-0.0010565968872452425,-0.024837361999999974
251,20180112,201801,0.0014000000000000002,-0.0019,0.0148,0.001345358,3.3433270810497127,3.3433270810497127,0.0,-0.024837361999999974
252,20180115,201801,0.0042,-0.0021,-0.002,0.004031801999999999,3.3568067138617432,3.3568067138617432,0.0,-0.024837361999999974
253,20180116,201801,0.0054,0.0334,0.0087,0.006098793,3.3772791831505966,3.3772791831505966,0.0,-0.024837361999999974
254,20180117,201801,0.0189,-0.0219,-0.0177,0.017817858000000002,3.4374550640623296,3.4374550640623296,0.0,-0.024837361999999974
255,20180118,201801,0.0013,0.0022,0.0006,0.001320841,3.441995395646601,3.441995395646601,0.0,-0.024837361999999974
256,20180119,201801,-0.005600000000000001,-0.0026,-0.0039000000000000003,-0.005522423,3.422987241107788,3.441995395646601,-0.005522423000000054,-0.024837361999999974
257,20180122,201801,0.0127,0.002,-0.0001,0.012409767999999998,3.4654657186368953,3.4654657186368953,0.0,-0.024837361999999974
258,20180123,201801,0.0113,-0.0007000000000000001,0.0,0.010980647,3.5035187743838483,3.5035187743838483,0.0,-0.024837361999999974
259,20180124,201801,0.004,0.0,0.0,0.00389308,3.517158253254027,3.517158253254027,0.0,-0.024837361999999974
260,20180125,201801,0.0085,0.0,0.0,0.008272795000000001,3.546254982465756,3.546254982465756,0.0,-0.024837361999999974
261,20180126,201801,0.0032,-0.0007000000000000001,-0.0013,0.003094547,3.55722903518298,3.55722903518298,0.0,-0.024837361999999974
262,20180129,201801,0.011399999999999999,0.0208,0.016,0.011641613999999998,3.5986409225201728,3.5986409225201728,0.0,-0.024837361999999974
263,20180130,201801,-0.0033,-0.0025,-0.0146,-0.0033029369999999997,3.586754838267467,3.5986409225201728,-0.0033029369999999503,-0.024837361999999974
264,20180131,201801,0.0069,0.0016,0.0132,0.006781647,3.611078943456139,3.611078943456139,0.0,-0.024837361999999974
265,20180201,201802,0.0033,0.0003,-0.0015,-0.001439442,3.6058810047596124,3.611078943456139,-0.001439442000000013,-0.024837361999999974
266,20180202,201802,0.015700000000000002,0.0,0.0,5.306600000000001e-05,3.606072354441011,3.611078943456139,-0.0013864523854292266,-0.024837361999999974
267,20180205,201802,-0.0254,0.0,0.0,-8.5852e-05,3.6057627659172375,3.611078943456139,-0.0014721853557190245,-0.024837361999999974
268,20180206,201802,-0.0287,0.0,0.0,-9.7006e-05,3.6054129852943673,3.611078943456139,-0.0015690485449063596,-0.024837361999999974
269,20180207,201802,0.0101,0.0,0.0,3.4138e-05,3.605536066882859,3.611078943456139,-0.0015349641090856014,-0.024837361999999974
270,20180208,201802,0.0075,0.0,0.0,2.535e-05,3.605627467222155,3.611078943456139,-0.0015096530204257164,-0.024837361999999974
271,20180209,201802,0.011000000000000001,0.0,0.0,3.7180000000000007e-05,3.6057615244513865,3.611078943456139,-0.0014725291493248305,-0.024837361999999974
272,20180212,201802,0.015300000000000001,0.0,0.0,5.171400000000001e-05,3.605947992802862,3.611078943456139,-0.0014208912996972467,-0.024837361999999974
273,20180213,201802,-0.032799999999999996,-0.025,-0.024700000000000003,-0.024734767000000005,3.5167557093867656,3.611078943456139,-0.02612051288446693,-0.02612051288446693
274,20180214,201802,0.0104,0.0043,0.0148,0.014526513000000001,3.567841906916997,3.611078943456139,-0.011973439854449763,-0.02612051288446693
275,20180219,201802,0.0072,0.0027,0.015,0.014670687,3.6201845987988595,3.6201845987988595,0.0,-0.02612051288446693
276,20180220,201802,-0.0034999999999999996,-0.0075,0.0027,0.002427818,3.6289737481311457,3.6289737481311457,0.0,-0.02612051288446693
277,20180221,201802,-0.0053,0.0105,0.0076,0.007627825,3.656654924811484,3.656654924811484,0.0,-0.02612051288446693
278,20180222,201802,0.0108,0.0144,0.029300000000000003,0.028870483000000002,3.76222431865512,3.76222431865512,0.0,-0.02612051288446693
279,20180223,201802,-0.0064,0.009399999999999999,-0.0063,-0.005913647,3.739975852099778,3.76222431865512,-0.005913646999999966,-0.02612051288446693
280,20180226,201802,0.0111,0.0007000000000000001,0.005699999999999999,0.005595101999999999,3.760901398469813,3.76222431865512,-0.00035163245815694744,-0.02612051288446693
281,20180227,201802,-0.0028000000000000004,-0.0033,0.0016,0.0014644410000000001,3.7664090166746895,3.7664090166746895,0.0,-0.02612051288446693
282,20180228,201802,0.014499999999999999,0.010700000000000001,-0.006,-0.0055193889999999995,3.745620740178554,3.7664090166746895,-0.005519389000000041,-0.02612051288446693
283,20180302,201803,0.0066,-0.0039000000000000003,-0.008,0.004436758,3.762239152962507,3.7664090166746895,-0.001107119193300976,-0.02612051288446693
284,20180305,201803,0.0012,0.013300000000000001,0.0022,0.00335233,3.774851420142158,3.774851420142158,0.0,-0.02612051288446693
285,20180306,201803,0.0014000000000000002,0.0038,0.0058,0.001917328,3.7820890484658363,3.7820890484658363,0.0,-0.02612051288446693
286,20180307,201803,0.0139,0.0012,-0.003,0.011299842,3.8248260571434303,3.8248260571434303,0.0,-0.02612051288446693
287,20180308,201803,0.0092,0.013300000000000001,0.0049,0.009829474,3.862422085426644,3.862422085426644,0.0,-0.02612051288446693
288,20180309,201803,0.0255,0.024300000000000002,0.044000000000000004,0.0256868,3.9616353490505807,3.9616353490505807,0.0,-0.02612051288446693
289,20180312,201803,0.011899999999999999,-0.0064,-0.0004,0.008412673999999998,3.994963295749019,3.994963295749019,0.0,-0.02612051288446693
290,20180313,201803,0.0204,0.0038,-0.0077,0.016872028,4.062366428333869,4.062366428333869,0.0,-0.02612051288446693
291,20180314,201803,-0.011399999999999999,-0.0032,-0.0038,-0.009792427999999999,4.022585997574792,4.062366428333869,-0.00979242800000002,-0.02612051288446693
