,날짜,누적수익률_Opt,누적수익률_714157,누적수익률_714207,누적수익률_714243,누적수익률,최고누적,DD,MDD,HL,HLcount,cummax,underwater
522,20190225,440.8189357704435,510.09,430.2,308.08,5.408189357704435,5.408189357704435,0.0,-0.041501962815291504,1,1,5.408189357704435,False
523,20190226,442.98021935963067,507.17,437.74,311.3,5.429802193596307,5.429802193596307,0.0,-0.041501962815291504,1,2,5.429802193596307,False
524,20190227,444.55370786227286,505.69,441.83,314.86,5.445537078622729,5.445537078622729,0.0,-0.041501962815291504,1,3,5.445537078622729,False
525,20190228,422.1921932183718,485.73,410.39,304.33,5.221921932183718,5.445537078622729,-0.041063928720060594,-0.041501962815291504,-1,-1,5.445537078622729,True
526,20190304,422.78110356864363,484.78,413.09,304.33,5.227811035686436,5.445537078622729,-0.039982473683084274,-0.041501962815291504,-1,-2,5.445537078622729,True
527,20190305,427.53280495636386,490.19,417.46,308.35,5.2753280495636385,5.445537078622729,-0.03125661006464742,-0.041501962815291504,-1,-3,5.445537078622729,True
528,20190306,439.9780169224643,510.16,423.64,316.02,5.399780169224643,5.445537078622729,-0.008402643988544511,-0.041501962815291504,-1,-4,5.445537078622729,True
529,20190307,436.5673890398403,506.59,419.88,313.62,5.365673890398403,5.445537078622729,-0.014665805607648963,-0.041501962815291504,-1,-5,5.445537078622729,True
530,20190308,442.78601318725083,515.29,424.04,318.25,5.427860131872508,5.445537078622729,-0.0032461346778105415,-0.041501962815291504,-1,-6,5.445537078622729,True
531,20190311,447.91838076739145,520.84,427.09,326.39,5.479183807673914,5.479183807673914,0.0,-0.041501962815291504,1,1,5.479183807673914,False
532,20190312,451.838111546325,530.97,428.25,321.82,5.51838111546325,5.51838111546325,0.0,-0.041501962815291504,1,2,5.51838111546325,False
533,20190313,462.5318453097171,544.46,436.26,331.41,5.6253184530971705,5.6253184530971705,0.0,-0.041501962815291504,1,3,5.6253184530971705,False
534,20190314,465.3856147477101,548.31,437.93,334.3,5.653856147477101,5.653856147477101,0.0,-0.041501962815291504,1,4,5.653856147477101,False
535,20190315,464.6649961995826,540.52,445.95,332.68,5.646649961995826,5.653856147477101,-0.0012745611655666789,-0.041501962815291504,-1,-1,5.653856147477101,True
536,20190318,467.64880994697114,542.66,449.53,336.4,5.676488099469712,5.676488099469712,0.0,-0.041501962815291504,1,1,5.676488099469712,False
537,20190319,469.3872554691765,547.93,446.71,338.95,5.693872554691765,5.693872554691765,0.0,-0.041501962815291504,1,2,5.693872554691765,False
538,20190320,467.62831160639456,546.77,445.99,333.91,5.676283116063946,5.693872554691765,-0.0030891872726104275,-0.041501962815291504,-1,-1,5.693872554691765,True
539,20190321,466.86762660124805,543.91,445.16,337.91,5.66867626601248,5.693872554691765,-0.004425158525637074,-0.041501962815291504,-1,-2,5.693872554691765,True
540,20190322,465.9820373678047,539.55,447.84,337.96,5.6598203736780475,5.693872554691765,-0.005980495820135379,-0.041501962815291504,-1,-3,5.693872554691765,True
541,20190325,461.81762974744265,529.71,448.14,337.89,5.6181762974744265,5.693872554691765,-0.01329433640992983,-0.041501962815291504,-1,-4,5.693872554691765,True
542,20190326,473.627690129295,546.1,460.22,339.09,5.73627690129295,5.73627690129295,0.0,-0.041501962815291504,1,1,5.73627690129295,False
543,20190327,481.9120942407179,552.67,468.82,350.56,5.819120942407179,5.819120942407179,0.0,-0.041501962815291504,1,2,5.819120942407179,False
544,20190328,472.084962583602,540.62,458.19,347.15,5.720849625836021,5.819120942407179,-0.016887656665631412,-0.041501962815291504,-1,-1,5.819120942407179,True
545,20190329,474.078398655132,547.69,453.0,351.5,5.74078398655132,5.819120942407179,-0.013461991361096048,-0.041501962815291504,-1,-2,5.819120942407179,True
546,20190401,477.1375468310816,551.8,455.09,354.07,5.771375468310816,5.819120942407179,-0.008204928986509819,-0.041501962815291504,-1,-3,5.819120942407179,True
547,20190402,480.368625677652,551.21,461.67,359.41,5.80368625677652,5.819120942407179,-0.0026524084622777666,-0.041501962815291504,-1,-4,5.819120942407179,True
